flag	grade	evidence	checked	declared_in
--key	ok		2026-09-04	scripts/wandb_table_probe.py
--klue-mrc	ok		2026-09-04	scripts/diag_common_text.py
--korquad	ok		2026-09-04	scripts/diag_common_text.py
--kv-bytes	ok		2026-09-04	scripts/mem_runtime.py
--kv-dtype	ok		2026-09-04	scripts/diag_kvcache.py,scripts/mem_runtime.py,tinylm/cli.py
--kv-heads	ok		2026-09-04	scripts/diag_sdpa_backends.py
--kv-seq	ok		2026-09-04	scripts/mem_runtime.py
--last	ok		2026-09-04	scripts/check_handoff.py
--layermap-log	ok		2026-09-04	scripts/plot_results.py
--layers	ok		2026-09-04	scripts/diag_sparse34.py
--limit	ok		2026-09-04	scripts/wandb_sync.py
--lines	ok		2026-09-04	scripts/check_doc_ownership.py
--list	ok		2026-09-04	scripts/fetch_bench_data.py,scripts/probe_prompts.py,scripts/queue_menu.py,scripts/wip.py
--live-only	ok		2026-09-04	scripts/dryrun_batch.py
--log	ok		2026-09-04	scripts/registry.py,scripts/summarize_smoke.py
--lora-bits	ok		2026-09-04	tinylm/cli.py
--lora-decay	ok		2026-09-04	tinylm/cli.py
--lora-rank	ok		2026-09-04	tinylm/cli.py
--lr	ok		2026-09-04	tinylm/cli.py
--lr-max	ok		2026-09-04	tinylm/cli.py
--lr-min	ok		2026-09-04	tinylm/cli.py
--lrfind-steps	ok		2026-09-04	tinylm/cli.py
--lrs	ok		2026-09-04	tinylm/cli.py
--lut	ok		2026-09-04	scripts/mem_runtime.py
--lut-out-chunk	ok		2026-09-04	scripts/mem_runtime.py
--match-train-repeat	ok		2026-09-04	scripts/paired_eval.py
--max-bytes	ok		2026-09-04	scripts/diag_spam_rate.py
--max-docs	ok		2026-09-04	scripts/common_bpb.py,scripts/diag_alpha_group.py,scripts/diag_common_text.py,scripts/diag_fp8_precision.py,scripts/diag_spam_rate.py,scripts/diag_val_docs.py
--max-new	ok		2026-09-04	scripts/bench_fused_int8.py,scripts/bench_infer.py,scripts/diag_decode_profile.py,scripts/diag_kvcache.py,scripts/eval_bench_suite.py,scripts/mem_runtime.py,tinylm/cli.py
--max-tokens	ok		2026-09-04	scripts/diag_vocab.py
--md	ok		2026-09-04	scripts/diag_dataset_quality.py
--method	ok		2026-09-04	tinylm/cli.py
--micro-bs	ok		2026-09-04	scripts/check_run_registry.py,scripts/common_bpb.py,scripts/diag_alpha_group.py,scripts/diag_dtype_map.py,scripts/diag_fp8_precision.py,scripts/diag_trapping.py,scripts/paired_eval.py,tinylm/cli.py
